id	filename	md5	size	state
93072a7b-f29b-4a31-9c0d-1da43199ad04	TCGA-HP-A5N0-01A-01-TS1.9363D006-8FA3-42F9-836F-E5E83C5F8DA1.svs	6675a22fa5ddffa0d0eb01176f99061c	289231967	live
899946ee-fb8e-4740-8bfc-3e635d9ede87	TCGA-O8-A75V-01A-01-TSA.364312E1-B1E2-46D5-9AFC-86FC70C4CBEF.svs	eb387a19046121ad27836ca9d7732562	111928389	live
23addc75-5ef9-42e7-a2e1-f173fabc2a87	TCGA-DD-AACI-01A-01-TSA.60E6A4E0-60F2-458E-B200-4D85C7BE4E84.svs	12e5fcf5e25b385ed7ed50eb1406e5a7	510706195	live
0267a803-bbfa-45a5-940d-ac6e3040f66d	TCGA-K7-A5RF-11A-01-TSA.9295F7A3-933C-4DDD-9F84-B4D4867B8C54.svs	f2a5878d765605e6747169647cd77afb	80771999	live
2dd1d233-040f-4bfa-8d24-b5862f804740	TCGA-FV-A3I0-11A-01-TS1.15941D99-F55B-494A-A730-DA7D68792680.svs	eaa6c1b50a247f7648cef178f85a96fa	53239049	live
eab0da7c-6c71-4545-9bbe-619129cf4a40	TCGA-BC-A112-01A-01-TS1.dd7d25ad-6667-4020-b5c5-047a7903a51c.svs	e411b54f1eed23db55ad0a4a4220ed3d	164297209	live
63e649c4-cc94-4530-b27c-fb87ea601dd5	TCGA-DD-AAEG-01A-01-TS1.992F86B6-DA95-4F0E-8004-36E094CC8BFC.svs	eb843693980dd136420fdee2d02f033e	40839953	live
d6aa9bdf-1352-4149-8d81-dd0d8b8d9737	TCGA-DD-A114-11A-01-TS1.8fce413e-bd5d-487b-a3bd-9230a6f5348b.svs	4f53d852308c541ec849738a1123955b	115742347	live
bd7f37fd-f74f-438f-8bfd-1a576d5366d1	TCGA-RG-A7D4-01A-01-TSA.F9A37353-40E4-4EBD-A955-DB918ED77A4A.svs	de888ccf34a6c594c7cc6a0e430eb96d	324183531	live
3c01c475-8a8d-4e13-b849-b5d17cef47bf	TCGA-CC-A7IJ-01A-01-TSA.EDCBC355-41EA-4AF4-9F87-2BD29D3BE481.svs	36bb1f8559e4873db189f549680536d5	122189397	live
6a52419d-98cc-4bfc-83a4-39861159ee4d	TCGA-CC-A7II-01A-01-TSA.CA4B2F28-7D49-4D40-91CB-BA75D58973BF.svs	b6f6dfc1e14afacecb053ea77a16ccc1	221988749	live
9b4526e5-cb6d-4ce2-815f-89c9a270f9f3	TCGA-DD-A11B-01A-01-TSA.972d3cc6-c2d2-40e2-b374-bf443aabf003.svs	590a2ac0fde68c6f435a74dce059b8a1	241885143	live
789ada4e-a338-4ae8-93d3-e75f9131cd86	TCGA-DD-AACQ-01A-01-TS1.F4DAA055-06E6-42D8-AA19-BCB233814977.svs	b1d4861cd7289c5576a8d516bb0fdc40	258270885	live
bfa01cac-6ca2-4f2c-8ba9-699cc028c84c	TCGA-DD-AACN-01A-01-TS1.0A5E846F-E723-4496-8ECC-C7CBE4DD58DC.svs	befdd8e320fe1ad1c482404f362f4c03	376491269	live
076613cf-ccb9-4676-b537-b57a7f7f5aea	TCGA-DD-AAVZ-01A-01-TS1.8CE66E07-1420-41F5-AB16-55352051AA16.svs	44dccfeebabccdf2024cf138340b6b21	393502989	live
9d9a763e-7b5c-4885-8bd9-6eda95052f59	TCGA-BC-A10S-11A-01-TS1.cc99664f-dafc-4710-9a3a-4f812e0a0be3.svs	350f8db4567102e772cc85cefa780294	69883693	live
